PUBCHEM_CID,canonical_smiles,standard_value_nM,Standard Type,activity_class
54612009.0,CCN\1C2=CC=CC=C2S/C1=C/C=C\C3=[N+](C4=CC=CC=C4S3)CC.[I-],258.2,EC50,1
4047882.0,C1=CC2=C(C(=C1)OCC3=CC=C(C=C3)C(F)(F)F)C(=NC(=N2)N)N,782.0,EC50,1
4235.0,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,740.0,EC50,1
2071.0,C1CC(C2=C1C=C(C=C2)C(=O)O)(C(=O)O)N,1155.0,EC50,0
70848.0,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,154.5,EC50,1
448013.0,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,4.09,EC50,1
2856734.0,C1CCN(CC1)CC(COC2=CC=CC=C2C(=O)CCC3=CC=CC=C3)O,881.0,EC50,1
5186.0,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,563.0,EC50,1
408190.0,CCN(CC)CCNC1=C2C=CC(=CC2=NC=C1)Cl,7.16,EC50,1
540335.0,CN1CCN(CC1)C2=CC=C(C=C2)NC3=C4C=CC=CC4=NC5=CC=CC=C53,56.7,EC50,1
473624.0,COC1=CC=C(C=C1)C(=O)O[C@H]([C@H]2C[C@@H]3CCN2C[C@@H]3C=C)C4=CC=NC5=CC=CC=C45,243.5,EC50,1
291270.0,COC1=CC(=CC(=C1OC)OC)CNC2=CC3=C(C=C2)N=C(N=C3N)N,1033.0,EC50,0
153378.0,CCCCOC1=CC=C(C=C1)N2C(=NC(=NC2(C)C)N)N,155.5,EC50,1
6197.0,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,113.5,EC50,1
10649.0,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],61.400000000000006,EC50,1
14169.0,CN(C)CCCNC1=C2C=CC=CC2=NC3=CC=CC=C31,32.7,EC50,1
379338.0,COC1=CC=C(C=C1)C2=NN=C3C4=CC=CC=C4C(=O)C3=C2,3840.0,EC50,0
379337.0,C1=CC=C(C=C1)C2=NN=C3C4=CC=CC=C4C(=O)C3=C2,267.5,EC50,1
2767328.0,C1=CC=C2C(=C1)C3=NN=C(C=C3C2=O)C4=CC=C(C=C4)Br,2499.0,EC50,0
403510.0,C1CN2C(=N1)C3=C(C2(C4=CC5=CC=CC=C5C=C4)O)C6=CC=CC=C6C7=CC=CC=C73,251.6,EC50,1
2240.0,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,11.979999999999999,EC50,1
4308266.0,C1=CC=C(C=C1)OC2=CC=CC3=C2C(=NC(=N3)N)N,448.0,EC50,1
2824466.0,CN(C)C1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=CC(=CC=C3)Cl,76.5,EC50,1
2824465.0,CN(C)C1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=CC=CC=C3,148.2,EC50,1
253602.0,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,9.75,EC50,1
121051.0,CC(=O)NCCC1=CC=C(C=C1)O,1671.0,EC50,0
441074.0,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,9.59,EC50,1
3034034.0,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,993.0,EC50,1
7680.0,C1=CC=C(C=C1)CC(=O)N,12500.0,EC50,0
230632.0,C1=CC=C(C=C1)CN2C=NC3=C2C(=NC=N3)Cl,1647.0,EC50,0
3174396.0,CC(C)(C)NC(=O)C(C1=CC=C(C=C1)F)N(CCCN2CCOCC2)C(=O)C3=CC=C(N3)C4=CC=CC=C4,1012.9999999999999,EC50,0
5767605.0,CCCCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=CC=CC=C4C=C3)CC,724.0,EC50,1
5756551.0,CC[N+]1=C(SC2=C1C=CC(=C2)NC(=O)C)/C=C/C3=CC=C(C=C3)N(C)C,953.0,EC50,1
5756551.0,CC[N+]1=C(SC2=C1C=CC(=C2)NC(=O)C)/C=C/C3=CC=C(C=C3)N(C)C,1502.0,EC50,0
15996482.0,CCC[N+]1=C(C=CC2=CC=CC=C21)/C=C\3/N(C4=CC=CC=C4S3)CC,820.0,EC50,1
22310332.0,CCN\1C2=C(C=CC(=C2)Br)S/C1=C\C3=[N+](C4=CC=CC=C4C=C3)CC,645.0,EC50,1
44401679.0,CCN\1C2=C(C=CC(=C2)I)S/C1=C\C3=[N+](C4=CC=CC=C4C=C3)CC,550.0,EC50,1
44401697.0,CCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=C(C=C3)C=C(C=C4)NC(=O)C)CC,255.30000000000004,EC50,1
5478303.0,CCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=CC=CC=C4S3)CC,557.0,EC50,1
54580917.0,CCN\1C2=CC=CC=C2S/C1=C/C3=[N+](C4=CC=CC=C4S3)CCO,1407.0,EC50,0
5767654.0,CC[N+]1=C(C=CC2=CC=CC(=C21)C)/C=C\3/N(C4=CC=CC=C4S3)C,493.0,EC50,1
5767651.0,CC[N+]1=C(C=CC2=C1C=C(C=C2)C)/C=C\3/N(C4=CC=CC=C4S3)C,1647.0,EC50,0
44401898.0,CCN\1C2=CC(=C(C=C2S/C1=C\C3=[N+](C4=CC=CC=C4C=C3)CC)OC)OC,135.6,EC50,1
11069.0,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,11.85,EC50,1
44403736.0,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)C4=CC(=O)C5=CC=CC=C5O4)C(=C2)C,498.0,EC50,1
44403742.0,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)OC)C(=C2)C,905.0,EC50,1
44403743.0,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)/C=C/C3=C(C=CC(=C3)OC)OC)N4CCN(CC4)C,1250.0,EC50,0
1138119.0,COC1=C(C=C(C=C1)C2=CC=C(O2)C=C3C(=O)NC(=S)NC3=O)Cl,1044.0,EC50,0
5051811.0,C1=CC=C(C=C1)C2=NC(=CC(=N2)NCCCN3C=CN=C3)C4=CC=NC=C4,237.6,EC50,1
684193.0,CCC1=CC2=C(C=C1)NC=C(C2=O)C(=O)OCC,716.0,EC50,1
690399.0,CCOC(=O)C1=CNC2=C(C1=O)C=C(C=C2)C(C)C,1151.0,EC50,0
1316842.0,C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)Br)NCC4=CC=CO4,195.5,EC50,1
135498601.0,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)NC(=NC3=CC=C(C=C3)O)S2,1140.0,EC50,0
3072540.0,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=C4C=CC=CC4=NC5=CC=CC=C53,50.7,EC50,1
4567175.0,CN1CCN(CC1)C2=CC=C(C=C2)NC3=CC=NC4=CC=CC=C43,220.20000000000002,EC50,1
1329.0,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,764.0,EC50,1
65237.0,CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C,97.10000000000001,EC50,1
15987648.0,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)/C=C/C4=CC(=CC=C4)Cl)C(=C2)C,935.0,EC50,1
44422654.0,CC1CC(CN(C1)CCCNC2=C(C=C(C=C2)C(=O)NC3=CC=C(C=C3)C(F)(F)F)[N+](=O)[O-])C,118.7,EC50,1
4617502.0,CCN(CC)CCNC(=O)C1C(N(C(=O)C2=CC=CC=C12)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)OC,782.0,EC50,1
224178.0,C1=CC(=CC=C1NC2=C3C=CC(=CC3=NC=C2)Cl)O,3370.0,EC50,0
407032.0,COC1=CC2=C(C=C1)NC3=CC=CC=C3C2=O,4320.0,EC50,0
2308087.0,COC1=CC(=CC(=C1OC)OC)/C=C\2/C(=O)/C(=C/C3=CC(=C(C(=C3)OC)OC)OC)/CC2,458.0,EC50,1
13957290.0,C1=CC2=C(C=CN=C2C=C1Cl)NCCCCCCN,288.1,EC50,1
3136668.0,CCC1=CC2=C(C=C1)NC(=O)C23NN=C(S3)C4=CC=C(C=C4)C,1491.0,EC50,0
94902.0,C1=NC2=C(N1)C(=NC=N2)NN,302.9,EC50,1
135452104.0,CC1=CC2=C(N=C(N=C2C=C1)NC3=NC4=CC=CC=C4C(=O)N3)C,575.0,EC50,1
2065408.0,C1=COC(=C1)CNS(=O)(=O)C2=CC3=C(C=C2)C4=C(C3=NNC(=O)N)C=C(C=C4)S(=O)(=O)NCC5=CC=CO5,1184.0,EC50,0
16193441.0,CN(C)CCN1C2=CC=CC=C2N(C1=N)CC(C3=CC(=C(C=C3)Cl)Cl)O,256.40000000000003,EC50,1
72378.0,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,607.0,EC50,1
4329551.0,CCOC(=O)C(C)OC1=CC=CC2=C1C=CN(C2=O)CC(=O)NC3=CC=C(C=C3)OC(F)(F)F,1250.0,EC50,0
2767330.0,CC1=CC=C(C=C1)C2=NN=C3C4=CC=CC=C4C(=O)C3=C2,1998.0,EC50,0
73292.0,C1=CC=C2C(=C1)C3=C(N2)C4=[N+](C=C3)C5=CC=CC=C5C4=O.[Cl-],74.89999999999999,EC50,1
10883727.0,COC1=C(C=C2C(=C1)C3=C(CN4CCC[C@@H]4C3)C5=CC(=C(C=C52)OC)OC)OC,509.0,EC50,1
135461372.0,CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)NC(=NC3=CC=CC=C3)S2,109.0,EC50,1
135509048.0,CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)NC(=NC3=CC=C(C=C3)OC)S2,1022.9999999999999,EC50,0
135498600.0,CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)NC(=NC3=CC=C(C=C3)O)S2,2820.0,EC50,0
135403926.0,CC1=CC=C(C=C1)N=C2NC(=O)/C(=C\C3=CC=C(C=C3)N(C)C)/S2,615.0,EC50,1
135403926.0,CC1=CC=C(C=C1)N=C2NC(=O)/C(=C\C3=CC=C(C=C3)N(C)C)/S2,1466.0,EC50,0
135442979.0,CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)NC(=NC3=CC=CC=C3Cl)S2,713.0,EC50,1
135442979.0,CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)NC(=NC3=CC=CC=C3Cl)S2,1251.0,EC50,0
457193.0,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,323.0,EC50,1
457193.0,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,807.0,EC50,1
3013846.0,CCCCCCCCCCCC(C(C)C(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,864.0,EC50,1
5287864.0,CC(C)C[C@@H](C(=O)N[C@@H](CCC1=CC=CC=C1)/C=C/S(=O)(=O)C2=CC=CC=C2)NC(=O)N3CCOCC3,210.4,EC50,1
65329.0,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,51.7,EC50,1
746602.0,CC1=CC=C(C=C1)NC2=NC(=CS2)C3=CC=CC=N3,407.0,EC50,1
182785.0,CC(C)NC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23,31.8,EC50,1
6622924.0,CCN(CC)CCCNC1=NC2=CC(=C(C=C2C3=NC(=NN31)C4=CC=CC=C4)OC)OC,3250.0,EC50,0
709466.0,CC1=CC(=C2C=CC3=CC=CC=C3C2=N1)NCCN4CCCCC4,44.1,EC50,1
1584458.0,CC1=C2C=C(C=CC2=NC(=N1)N=C(N)N)OC,712.0,EC50,1
2897655.0,COC1=CC=C(C=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC(=O)COC4=CC=CC=C4,3570.0,EC50,0
2897629.0,C1=CC=C(C=C1)OCC(=O)NC(C2=CC=C(C=C2)[N+](=O)[O-])C3=CC(=C4C=CC=NC4=C3O)Cl,605.0,EC50,1
16051921.0,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.Cl,10.290000000000001,EC50,1
6504364.0,CCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=CC=CC=C4S3)CC.[I-],187.4,EC50,1
44575356.0,C[C@H]1[C@H]([C@H](C[C@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,48.599999999999994,EC50,1
44576005.0,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl,10.63,EC50,1
772885.0,C1=CC=NC(=C1)C2=CSC(=N2)NC3=CC=CC=N3,114.1,EC50,1
3137700.0,CCCCCCC1=CC(=C2C3=C(CN(CC3)C)C(OC2=C1)(C)C)O,48.4,EC50,1
44582409.0,C[C@H]1C(=O)N([C@H]2CS[C@@H]([C@@H](C(=O)N([C@H](C(=O)OC[C@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@@H](NC(=O)[C@@H](COC(=O)[C@@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,73.7,EC50,1
4532985.0,C1CCN(C1)CC(=O)NC2=CC=C(C=C2)CC3=CC=C(C=C3)NC(=O)CN4CCCC4,306.90000000000003,EC50,1
1718804.0,C1=CC=C(C=C1)OCCOC2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,124.39999999999999,EC50,1
182786.0,CCN(CC)CCNC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23,28.18,EC50,1
181831.0,CN1CCN(CC1)CCCNC2=CC=NC3=CC4=CC=CC=C4C=C23,24.07,EC50,1
1885106.0,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC(=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,170.8,EC50,1
1714988.0,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC(=C(C=C3)OC4=CC5=CC=CC=C5C=C4)Cl,165.6,EC50,1
777193.0,CC1=NC2=NC=NN2C(=C1)NC3=CC4=CC=CC=C4C=C3O,1345.0,EC50,0
11696578.0,COC1=CC(=CC(=C1OC)OC)NC2=NC(=CN=C2)C3=CC=C(C=C3)C(=O)N,29.52,EC50,1
24879140.0,COC1=CC(=CC(=C1OC)OC)NC2=NC(=CN=C2)C3=CC=NC=C3,1085.0,EC50,0
23968266.0,CC(C)(C)NCC(COC1=CC=CC2=C1C3=CC=CC=C3O2)O,1250.0,EC50,0
2740174.0,CC1=C(C(=NC(=N1)C2=CC=CC=N2)NCCC3=CC=CC=C3)Cl,1251.0,EC50,0
2795987.0,C1CN(CCN(C1)C(=S)NC2=C(C=C(C=C2)F)Br)C3=NC=C(C=C3)[N+](=O)[O-],110.39999999999999,EC50,1
22331676.0,CN(C)C1=CC=C(C=C1)N2C(=NC(=NC23CCCC3)N)N,243.7,EC50,1
2766306.0,CC1=CC(=NC(=N1)N)NC2=CC=CC(=C2)C(F)(F)F,676.0,EC50,1
16187033.0,C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC(=CC=C3)O)NCCO.Cl,203.4,EC50,1
2870225.0,C1CCC2=C(C1)C(=O)C3=C(N2)C=C(C=C3)Cl,333.0,EC50,1
135609778.0,CC1=CC(=NC2=C1C(=CC=C2)O)NC3=CC=C(C=C3)O,468.0,EC50,1
929854.0,CN(C)CCNC1=NC=NC2=C1NC3=C2C=C(C=C3)Cl,632.0,EC50,1
656272.0,CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,255.80000000000004,EC50,1
1843745.0,CC1=CC2=C(C=C1)NC3=C2N=CN=C3NCCCN(C)C,77.7,EC50,1
5440108.0,CCCC1=CC(=C2C3=C(CN(CC3)C)C(=O)OC2=C1)O,554.0,EC50,1
929778.0,CN(C)CCNC1=NC=NC2=C1NC3=C2C=C(C=C3)Br,100.2,EC50,1
15990007.0,CCC1=NN2C(=CC(=NC2=N1)C)NC3=CC(=C(C=C3)F)Cl,543.0,EC50,1
2810118.0,CN1C(=C(C(=N1)C(F)(F)F)C2=CC=C(C=C2)F)NC(=O)NC3=C(C=C(C=C3)F)F,291.4,EC50,1
1380879.0,C1=CC=NC(=C1)NC2=NC3=C(C=CC=C3O)C=C2,679.0,EC50,1
945116.0,C1=CC=C(C=C1)CCNC2=NC=NC3=C2NC4=CC=CC=C43,167.0,EC50,1
659572.0,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCCCC3)F)C(=O)OCC,165.7,EC50,1
2894678.0,C1CC1NC2=C(C=CC(=C2)N3CCN(CC3)C(=O)C4=CC=CO4)[N+](=O)[O-],100.4,EC50,1
2859627.0,CC1=C(C(=NN1CC(CN2C3=C(C=C(C=C3)Br)C4=C2C=CC(=C4)Br)O)C)Br,769.0,EC50,1
892686.0,CC1=CC2=C(C=C1)NC(=C(C2=O)Br)C,1244.0,EC50,0
825303.0,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC(=C(C=C3)Cl)Cl,249.1,EC50,1
1856804.0,CCC1=CC(=C(C=C1)O)C2=NNC(=C2)C(=O)NC3=CN=CC=C3,742.0,EC50,1
2832014.0,C1CCN(CC1)C2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,743.0,EC50,1
2829106.0,C1C(NC(C2=C1C3=CC=CC=C3N2)C4=C(C=C(C=C4)Cl)Cl)C(=O)O,1022.9999999999999,EC50,0
6603416.0,CCOC1=CC=C(C=C1)N2C(=NC(=NC2(C)C)N)N.Cl,79.0,EC50,1
1452104.0,C1CN(CCN1CC(=O)NC2=CC=CC=C2Br)C(=O)C3=CC=CO3,358.0,EC50,1
929597.0,CC1=CC2=C(C=C1)NC3=C2N=CN=C3NCCN(C)C,168.1,EC50,1
613604.0,CCOC(=O)C1=CNC2=C(C1=O)C=CC3=CC=CC=C32,2.428,EC50,1
613604.0,CCOC(=O)C1=CNC2=C(C1=O)C=CC3=CC=CC=C32,341.0,EC50,1
15997999.0,C1=CC=C2C(=C1)C(=O)C3=C(N2CC(=O)NC4=CC=C(C=C4)C(F)(F)F)C=C(C=C3)Cl,9870.0,EC50,0
1180565.0,CN(C)CCCN1C(=C(C2=NC(=C(N=C21)C#N)C#N)C3=NC4=CC=CC=C4N3)N,463.0,EC50,1
3294187.0,CC1=C(C(=NC2=NC(=NN12)SC)C)CC3=CC(=CC=C3)C(F)(F)F,270.1,EC50,1
4384722.0,COC1=CC=C(C=C1)C2=C3C(=CN=C2)C=CC(=N3)C(=O)NCC4=CC=NC=C4,1348.0,EC50,0
1489418.0,C1=CC=C2C(=C1)C(=NN=N2)NC3=CC=C(C=C3)C(F)(F)F,7720.0,EC50,0
3113551.0,C1=CC(=C(C=C1NC2=NC3=C(C=C(C=C3)[N+](=O)[O-])N=C2NC4=CC(=C(C=C4)Cl)Cl)Cl)Cl,7230.0,EC50,0
20880434.0,COC1=C(C=C2C(=C1)C3=NC(=NN3C(=N2)NCC4CCCO4)C5=CC=CC=C5)OC,293.2,EC50,1
44521966.0,COC1=CC=CC=C1NC(=O)CSC2=NC3=C(N2C4=CC=CC=C4OC)N=CC=C3,833.0,EC50,1
2810117.0,CN1C(=C(C(=N1)C(F)(F)F)C2=CC=C(C=C2)OC)NC(=O)NC3=C(C=C(C=C3)F)F,242.29999999999998,EC50,1
4348221.0,CN1CCN(CC1)C2=NC(=NC(=C2)C3=CN=CC=C3)C4=CC=NC=C4,588.0,EC50,1
44522135.0,CC1=NC=C(S1)CN2CCC(CC2)C(=O)NC3=CC=C(C=C3)C4=NC5=CC=CC=C5O4,740.0,EC50,1
44522003.0,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)Cl.Br,140.3,EC50,1
3808173.0,CCC(C)NCC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,639.0,EC50,1
